## z  M=5d11  1d12  2d12  3d12  4d12  5d12 6d12  7d12  8d12  9d12  1d13  1.6d13  2d13 Msun/h
6.50   13.22   15.89   19.32   21.77   23.76   25.47   26.98   28.34   29.60   30.76   31.86   37.37   40.41
6.60   13.56   16.31   19.83   22.35   24.39   26.14   27.69   29.09   30.38   31.58   32.70   38.36   41.48
6.70   13.91   16.73   20.34   22.93   25.02   26.82   28.41   29.85   31.17   32.40   33.55   39.36   42.57
6.80   14.26   17.15   20.86   23.51   25.66   27.50   29.14   30.61   31.97   33.23   34.41   40.38   43.67
6.90   14.62   17.58   21.38   24.11   26.31   28.20   29.88   31.39   32.78   34.08   35.29   41.41   44.78
7.00   14.98   18.02   21.92   24.71   26.97   28.91   30.62   32.18   33.61   34.93   36.17   42.45   45.91
7.10   15.34   18.46   22.46   25.32   27.64   29.62   31.38   32.98   34.44   35.80   37.07   43.50   47.05
7.20   15.71   18.91   23.00   25.94   28.31   30.35   32.15   33.78   35.28   36.67   37.98   44.57   48.20
7.30   16.09   19.36   23.56   26.56   28.99   31.08   32.93   34.60   36.14   37.56   38.90   45.65   49.37
7.40   16.47   19.82   24.12   27.19   29.68   31.82   33.71   35.43   37.00   38.46   39.83   46.75   50.56
7.50   16.85   20.29   24.68   27.83   30.38   32.57   34.51   36.26   37.87   39.37   40.77   47.85   51.75
7.60   17.24   20.75   25.26   28.48   31.09   33.33   35.31   37.11   38.76   40.29   41.73   48.97   52.97
7.70   17.63   21.23   25.84   29.14   31.81   34.10   36.13   37.97   39.65   41.22   42.69   50.11   54.19
7.80   18.03   21.71   26.42   29.80   32.53   34.88   36.95   38.83   40.56   42.16   43.67   51.25   55.43
7.90   18.43   22.20   27.02   30.47   33.27   35.66   37.79   39.71   41.47   43.11   44.65   52.41   56.69
